COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,Year,Value
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2014.0,55.94306357183902
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2014.0,6.551344872820816
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2015.0,57.67304894745916
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2015.0,6.841841786976238
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2016.0,60.55516638314415
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2016.0,7.274846621283375
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2017.0,63.5773752845897
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2017.0,7.734891419926992
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2018.0,69.60593989661392
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2018.0,8.578976793133311
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2019.0,72.53824678094342
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2019.0,9.059849672414487
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2020.0,74.33696218678605
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2020.0,9.409907589094855
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2021.0,74.99433626138793
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2021.0,9.621111634858169
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2022.0,74.16483189403151
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2022.0,9.641208905648796
Argentina,Number of automated teller machines (ATMs),"Per 100,000 adults",2023.0,74.52823703630057
Argentina,Number of automated teller machines (ATMs),"Per 1,000 square km",2023.0,9.816968673835913
Argentina,Number of commercial bank branches,"Per 100,000 adults",2004.0,13.31565211895534
Argentina,Number of commercial bank branches,"Per 1,000 square km",2004.0,1.368806843303407
Argentina,Number of commercial bank branches,"Per 100,000 adults",2005.0,13.12519568162833
Argentina,Number of commercial bank branches,"Per 1,000 square km",2005.0,1.368076033456475
Argentina,Number of commercial bank branches,"Per 100,000 adults",2006.0,13.11893365988589
Argentina,Number of commercial bank branches,"Per 1,000 square km",2006.0,1.386711684553238
Argentina,Number of commercial bank branches,"Per 100,000 adults",2007.0,13.06624233658238
Argentina,Number of commercial bank branches,"Per 1,000 square km",2007.0,1.400231666721477
Argentina,Number of commercial bank branches,"Per 100,000 adults",2008.0,12.99980421252181
Argentina,Number of commercial bank branches,"Per 1,000 square km",2008.0,1.412290029195853
Argentina,Number of commercial bank branches,"Per 100,000 adults",2009.0,12.85960882774831
Argentina,Number of commercial bank branches,"Per 1,000 square km",2009.0,1.416674888277445
Argentina,Number of commercial bank branches,"Per 100,000 adults",2010.0,12.97378293552231
Argentina,Number of commercial bank branches,"Per 1,000 square km",2010.0,1.437868373838469
Argentina,Number of commercial bank branches,"Per 100,000 adults",2011.0,13.07308056761152
Argentina,Number of commercial bank branches,"Per 1,000 square km",2011.0,1.470024007103472
Argentina,Number of commercial bank branches,"Per 100,000 adults",2012.0,13.14861226219775
Argentina,Number of commercial bank branches,"Per 1,000 square km",2012.0,1.499256400980747
Argentina,Number of commercial bank branches,"Per 100,000 adults",2013.0,13.16557865152731
Argentina,Number of commercial bank branches,"Per 1,000 square km",2013.0,1.521546101312169
Argentina,Number of commercial bank branches,"Per 100,000 adults",2014.0,13.14251680320073
Argentina,Number of commercial bank branches,"Per 1,000 square km",2014.0,1.539085537638534
Argentina,Number of commercial bank branches,"Per 100,000 adults",2015.0,13.17387472486022
Argentina,Number of commercial bank branches,"Per 1,000 square km",2015.0,1.56283685766382
Argentina,Number of commercial bank branches,"Per 100,000 adults",2016.0,13.36173820488986
Argentina,Number of commercial bank branches,"Per 1,000 square km",2016.0,1.605223828785869
Argentina,Number of commercial bank branches,"Per 100,000 adults",2017.0,13.44351529543762
Argentina,Number of commercial bank branches,"Per 1,000 square km",2017.0,1.635552437433542
Argentina,Number of commercial bank branches,"Per 100,000 adults",2018.0,13.37686348128129
Argentina,Number of commercial bank branches,"Per 1,000 square km",2018.0,1.648707014678316
Argentina,Number of commercial bank branches,"Per 100,000 adults",2019.0,13.32627708668215
Argentina,Number of commercial bank branches,"Per 1,000 square km",2019.0,1.664419426387351
Argentina,Number of commercial bank branches,"Per 100,000 adults",2020.0,13.07651594851432
Argentina,Number of commercial bank branches,"Per 1,000 square km",2020.0,1.655284303300703
Argentina,Number of commercial bank branches,"Per 100,000 adults",2021.0,12.94528136376787
Argentina,Number of commercial bank branches,"Per 1,000 square km",2021.0,1.660765377152692
Argentina,Number of commercial bank branches,"Per 100,000 adults",2022.0,12.81757185661488
Argentina,Number of commercial bank branches,"Per 1,000 square km",2022.0,1.666246451004681
Argentina,Number of commercial bank branches,"Per 100,000 adults",2023.0,12.39455680332729
Argentina,Number of commercial bank branches,"Per 1,000 square km",2023.0,1.632629198045814
Argentina,Number of credit union and credit cooperative branches,"Per 1,000 square km",2004.0,0.0010962147703978
Argentina,Number of credit union and credit cooperative branches,"Per 100,000 adults",2004.0,0.0106638965181169
Argentina,Number of credit union and credit cooperative branches,"Per 1,000 square km",2005.0,0.0010962147703978
Argentina,Number of credit union and credit cooperative branches,"Per 100,000 adults",2005.0,0.0105169837192534
Argentina,Number of credit union and credit cooperative branches,"Per 1,000 square km",2006.0,0.0010962147703978
Argentina,Number of credit union and credit cooperative branches,"Per 100,000 adults",2006.0,0.0103706985453643
Argentina,Number of credit union and credit cooperative branches,"Per 1,000 square km",2007.0,0.0010962147703978
Argentina,Number of credit union and credit cooperative branches,"Per 100,000 adults",2007.0,0.0102293128939841
Argentina,Number of credit union and credit cooperative branches,"Per 1,000 square km",2008.0,0.0010962147703978
Argentina,Number of credit union and credit cooperative branches,"Per 100,000 adults",2008.0,0.0100904043046741
Argentina,Number of credit union and credit cooperative branches,"Per 1,000 square km",2009.0,0.0010962147703978
Argentina,Number of credit union and credit cooperative branches,"Per 100,000 adults",2009.0,0.0099506903490443
Argentina,Number of credit union and credit cooperative branches,"Per 1,000 square km",2010.0,0.0010962147703978
Argentina,Number of credit union and credit cooperative branches,"Per 100,000 adults",2010.0,0.0098910670410589
Argentina,Number of credit union and credit cooperative branches,"Per 1,000 square km",2011.0,0.0010962147703978
Argentina,Number of credit union and credit cooperative branches,"Per 100,000 adults",2011.0,0.0097487550839757
Argentina,Number of credit union and credit cooperative branches,"Per 1,000 square km",2012.0,0.0010962147703978
Argentina,Number of credit union and credit cooperative branches,"Per 100,000 adults",2012.0,0.0096139012397253
Argentina,Number of credit union and credit cooperative branches,"Per 1,000 square km",2013.0,0.0003654049234659
Argentina,Number of credit union and credit cooperative branches,"Per 100,000 adults",2013.0,0.0031617624043053
Argentina,Number of credit union and credit cooperative branches,"Per 1,000 square km",2014.0,0.0003654049234659
Argentina,Number of credit union and credit cooperative branches,"Per 100,000 adults",2014.0,0.0031202556512822
Argentina,Number of credit union and credit cooperative branches,"Per 1,000 square km",2015.0,0.0003654049234659
Argentina,Number of credit union and credit cooperative branches,"Per 100,000 adults",2015.0,0.0030801671089221
Argentina,Number of credit union and credit cooperative branches,"Per 1,000 square km",2016.0,0.0003654049234659
Argentina,Number of credit union and credit cooperative branches,"Per 100,000 adults",2016.0,0.0030415975881834
Argentina,Number of credit union and credit cooperative branches,"Per 1,000 square km",2017.0,0.0003654049234659
Argentina,Number of credit union and credit cooperative branches,"Per 100,000 adults",2017.0,0.0030034663305267
Argentina,Number of credit union and credit cooperative branches,"Per 1,000 square km",2018.0,0.0003654049234659
Argentina,Number of credit union and credit cooperative branches,"Per 100,000 adults",2018.0,0.0029647303814896
Argentina,Number of credit union and credit cooperative branches,"Per 1,000 square km",2019.0,
Argentina,Number of credit union and credit cooperative branches,"Per 100,000 adults",2019.0,
Argentina,Number of credit union and credit cooperative branches,"Per 1,000 square km",2020.0,
Argentina,Number of credit union and credit cooperative branches,"Per 100,000 adults",2020.0,
Argentina,Number of credit union and credit cooperative branches,"Per 1,000 square km",2021.0,
Argentina,Number of credit union and credit cooperative branches,"Per 100,000 adults",2021.0,
Argentina,Number of credit union and credit cooperative branches,"Per 1,000 square km",2022.0,
Argentina,Number of credit union and credit cooperative branches,"Per 100,000 adults",2022.0,
Argentina,Number of credit union and credit cooperative branches,"Per 1,000 square km",2023.0,
Argentina,Number of credit union and credit cooperative branches,"Per 100,000 adults",2023.0,
Argentina,"Number of deposit accounts, Commercial banks","Per 1,000 adults",2004.0,575.2055661558637
Argentina,"Number of deposit accounts, Commercial banks","Per 1,000 adults",2005.0,661.6128586812915
