COUNTRY,INDICATOR,TYPE_OF_TRANSFORMATION,year,value
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2021,
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2022,
Argentina,"Deposit accounts, Credit unions and credit cooperatives",Number,2023,
Argentina,"Deposit accounts, Deposit taking microfinance institutions",Number,2004,
Argentina,"Deposit accounts, Deposit taking microfinance institutions",Number,2005,
Argentina,"Deposit accounts, Deposit taking microfinance institutions",Number,2006,
Argentina,"Deposit accounts, Deposit taking microfinance institutions",Number,2007,
Argentina,"Deposit accounts, Deposit taking microfinance institutions",Number,2008,
Argentina,"Deposit accounts, Deposit taking microfinance institutions",Number,2009,
Argentina,"Deposit accounts, Deposit taking microfinance institutions",Number,2010,
Argentina,"Deposit accounts, Deposit taking microfinance institutions",Number,2011,
Argentina,"Deposit accounts, Deposit taking microfinance institutions",Number,2012,
Argentina,"Deposit accounts, Deposit taking microfinance institutions",Number,2013,
Argentina,"Deposit accounts, Deposit taking microfinance institutions",Number,2014,
Argentina,"Deposit accounts, Deposit taking microfinance institutions",Number,2015,
Argentina,"Deposit accounts, Deposit taking microfinance institutions",Number,2016,
Argentina,"Deposit accounts, Deposit taking microfinance institutions",Number,2017,
Argentina,"Deposit accounts, Deposit taking microfinance institutions",Number,2018,
Argentina,"Deposit accounts, Deposit taking microfinance institutions",Number,2019,
Argentina,"Deposit accounts, Deposit taking microfinance institutions",Number,2020,
Argentina,"Deposit accounts, Deposit taking microfinance institutions",Number,2021,
Argentina,"Deposit accounts, Deposit taking microfinance institutions",Number,2022,
Argentina,"Deposit accounts, Deposit taking microfinance institutions",Number,2023,
Argentina,"Depositors, Commercial banks",Number,2004,
Argentina,"Depositors, Commercial banks",Number,2005,
Argentina,"Depositors, Commercial banks",Number,2006,
Argentina,"Depositors, Commercial banks",Number,2007,
Argentina,"Depositors, Commercial banks",Number,2008,
Argentina,"Depositors, Commercial banks",Number,2009,
Argentina,"Depositors, Commercial banks",Number,2010,
Argentina,"Depositors, Commercial banks",Number,2011,
Argentina,"Depositors, Commercial banks",Number,2012,
Argentina,"Depositors, Commercial banks",Number,2013,
Argentina,"Depositors, Commercial banks",Number,2014,
Argentina,"Depositors, Commercial banks",Number,2015,
Argentina,"Depositors, Commercial banks",Number,2016,
Argentina,"Depositors, Commercial banks",Number,2017,
Argentina,"Depositors, Commercial banks",Number,2018,
Argentina,"Depositors, Commercial banks",Number,2019,28228702.0
Argentina,"Depositors, Commercial banks",Number,2020,31701323.0
Argentina,"Depositors, Commercial banks",Number,2021,32356882.0
Argentina,"Depositors, Commercial banks",Number,2022,34146825.0
Argentina,"Depositors, Commercial banks",Number,2023,35355486.0
Argentina,"Depositors, Deposit taking microfinance institutions",Number,2004,
Argentina,"Depositors, Deposit taking microfinance institutions",Number,2005,
Argentina,"Depositors, Deposit taking microfinance institutions",Number,2006,
Argentina,"Depositors, Deposit taking microfinance institutions",Number,2007,
Argentina,"Depositors, Deposit taking microfinance institutions",Number,2008,
Argentina,"Depositors, Deposit taking microfinance institutions",Number,2009,
Argentina,"Depositors, Deposit taking microfinance institutions",Number,2010,
