countryname,year,estimate,stddev,nsource,pctrank,pctranklower,pctrankupper
Nicaragua,2005,-0.614661514759064,0.157308533787727,14,33.4928245544434,22.4880390167236,41.1483268737793
Panama,2005,-0.101316899061203,0.168051794171333,12,50.2392349243164,41.1483268737793,57.4162673950195
Paraguay,2005,-0.963428318500519,0.17108029127121,12,19.1387557983398,9.56937789916992,31.1004791259766
Peru,2005,-0.700787901878357,0.17108029127121,12,30.1435413360596,16.7464122772217,39.2344512939453
Puerto Rico,2005,0.585461497306824,0.365848004817963,1,68.4210510253906,52.1531105041504,86.6028671264648
Suriname,2005,-0.135859340429306,0.252688974142075,7,48.3253593444824,34.4497604370117,57.8947372436523
Uruguay,2005,0.45884957909584,0.174021527171135,11,62.2009582519531,57.4162673950195,70.3349304199219
Argentina,2006,-0.57701563835144,0.152060285210609,15,34.4497604370117,24.4019145965576,44.4976081848145
Belize,2006,0.0238666515797377,0.209723770618439,6,54.0669860839844,44.9760780334473,60.7655487060547
Bolivia,2006,-0.85372930765152,0.149867981672287,16,23.9234447479248,12.4401912689209,31.5789470672607
Brazil,2006,-0.402620196342468,0.148689746856689,16,43.0622024536133,30.6220092773437,49.7607650756836
Chile,2006,1.18129122257233,0.151472508907318,15,88.0382766723633,78.4689025878906,89.9521560668945
Colombia,2006,-0.508387923240662,0.149199739098549,16,39.2344512939453,26.7942581176758,46.8899536132812
Costa Rica,2006,0.38971409201622,0.169404596090317,13,62.6794242858887,55.0239219665527,68.8995208740234
Cuba,2006,-0.763818800449371,0.176722332835197,11,26.3157901763916,14.3540668487549,39.7129173278809
Dominican Republic,2006,-0.584695756435394,0.158478498458862,14,33.9712905883789,23.9234447479248,44.9760780334473
Ecuador,2006,-1.03100264072418,0.166243076324463,14,15.3110046386719,8.61244010925293,26.3157901763916
El Salvador,2006,-0.691741585731506,0.169404596090317,13,29.6650714874268,19.1387557983398,42.1052627563477
Guatemala,2006,-1.09776103496552,0.152853116393089,16,12.9186601638794,7.17703342437744,23.9234447479248
Guyana,2006,-0.564467251300812,0.164588361978531,12,34.9282302856445,24.4019145965576,45.9330139160156
Haiti,2006,-1.41297435760498,0.172960519790649,12,5.74162673950195,0.956937789916992,11.4832534790039
Honduras,2006,-0.98868316411972,0.159006088972092,15,17.2248802185059,9.56937789916992,27.2727279663086
Mexico,2006,-0.472546279430389,0.148689746856689,16,40.1913871765137,27.2727279663086,47.3684196472168
Nicaragua,2006,-0.752042233943939,0.155796095728874,16,27.2727279663086,15.7894735336304,39.2344512939453
Panama,2006,-0.15525296330452,0.169404596090317,13,50.2392349243164,42.1052627563477,55.9808616638184
Paraguay,2006,-0.971096038818359,0.166243076324463,14,19.1387557983398,9.56937789916992,28.7081336975098
Peru,2006,-0.70465487241745,0.155881077051163,15,27.7511959075928,19.1387557983398,40.6698570251465
Puerto Rico,2006,0.518689930438995,0.398123294115067,2,65.0717697143555,50.7177047729492,87.5598068237305
Suriname,2006,-0.226305484771729,0.220261096954346,8,48.3253593444824,33.4928245544434,55.9808616638184
Uruguay,2006,0.551547348499298,0.169404596090317,13,66.0287094116211,59.3301429748535,72.7272720336914
Argentina,2007,-0.60147225856781,0.153202801942825,15,33.9712905883789,22.0095691680908,44.4976081848145
Belize,2007,-0.0448062308132648,0.20347686111927,7,53.1100463867187,43.5406684875488,58.3732070922852
Bolivia,2007,-0.832326352596283,0.150281742215157,16,22.9665069580078,12.4401912689209,34.9282302856445
Brazil,2007,-0.40977942943573,0.149445295333862,16,42.1052627563477,31.1004791259766,50.2392349243164
Chile,2007,1.19518756866455,0.15139676630497,15,87.5598068237305,80.8612442016602,89.9521560668945
Colombia,2007,-0.432980388402939,0.147587969899178,17,41.1483268737793,29.6650714874268,48.8038291931152
Costa Rica,2007,0.354344755411148,0.16753987967968,14,59.8086128234863,55.5023918151855,69.3779907226562
Cuba,2007,-0.690431654453278,0.173520088195801,11,29.6650714874268,16.7464122772217,42.1052627563477
Dominican Republic,2007,-0.625862598419189,0.159008204936981,14,32.0574150085449,21.0526313781738,43.5406684875488
Ecuador,2007,-1.03286147117615,0.164935350418091,15,14.3540668487549,7.65550231933594,25.3588523864746
El Salvador,2007,-0.722936034202576,0.170303419232368,13,27.2727279663086,15.7894735336304,40.6698570251465
Guatemala,2007,-1.12104868888855,0.154612556099892,16,12.4401912689209,6.22009563446045,21.5311012268066
Guyana,2007,-0.4570552110672,0.164920777082443,13,40.6698570251465,26.7942581176758,48.8038291931152
Haiti,2007,-1.34994995594025,0.169779226183891,12,6.69856452941895,1.43540668487549,12.9186601638794
Honduras,2007,-0.928942918777466,0.159707903862,15,20.0956935882568,10.5263156890869,29.6650714874268
Mexico,2007,-0.542932212352753,0.149445295333862,16,35.8851661682129,24.4019145965576,46.8899536132812
Nicaragua,2007,-0.788387358188629,0.157422065734863,16,24.4019145965576,13.3971290588379,35.8851661682129
Panama,2007,-0.17409847676754,0.170303419232368,13,49.7607650756836,40.6698570251465,56.4593315124512
Paraguay,2007,-0.964514315128326,0.167569994926453,14,18.1818180084229,9.09090900421143,29.6650714874268
Peru,2007,-0.751626133918762,0.154612556099892,16,26.3157901763916,15.7894735336304,37.3205757141113
Puerto Rico,2007,0.575748801231384,0.311123430728912,3,67.464111328125,55.0239219665527,82.7751159667969
Suriname,2007,-0.246702715754509,0.227303981781006,8,47.3684196472168,32.5358848571777,56.4593315124512
Uruguay,2007,0.600704789161682,0.170303419232368,13,68.8995208740234,59.3301429748535,78.9473648071289
Argentina,2008,-0.699731647968292,0.14956933259964,15,27.884614944458,18.75,39.4230766296387
Belize,2008,-0.133091673254967,0.193635836243629,8,50.961540222168,39.4230766296387,58.1730766296387
Bolivia,2008,-0.978549301624298,0.145177811384201,16,17.3076915740967,9.13461494445801,25.480770111084
Brazil,2008,-0.288044780492783,0.147639736533165,16,46.6346168518066,36.538459777832,53.3653831481934
Chile,2008,1.21035730838776,0.14956933259964,15,87.9807662963867,81.7307662963867,89.9038467407227
Colombia,2008,-0.381235986948013,0.145958095788956,17,42.3076934814453,32.6923065185547,50.480770111084
Costa Rica,2008,0.453689336776733,0.165472120046616,14,62.980770111084,58.1730766296387,71.6346130371094
Cuba,2008,-0.827655673027039,0.1711755245924,10,23.0769233703613,11.5384616851807,35.5769233703613
Dominican Republic,2008,-0.682735621929169,0.156401425600052,14,29.3269233703613,19.230770111084,39.4230766296387
Ecuador,2008,-1.10530638694763,0.163114860653877,15,12.9807691574097,7.21153831481934,21.634614944458
El Salvador,2008,-0.694341421127319,0.167923659086227,13,28.365385055542,18.75,40.3846168518066
Guatemala,2008,-1.12228560447693,0.152494102716446,16,11.5384616851807,7.21153831481934,21.1538467407227
Guyana,2008,-0.580651640892029,0.161561995744705,12,34.6153831481934,21.634614944458,45.6730766296387
Haiti,2008,-1.285773396492,0.164834141731262,12,8.65384578704834,2.88461542129517,15.384614944458
Honduras,2008,-0.971363067626953,0.154251337051392,15,18.75,9.13461494445801,26.4423084259033
Mexico,2008,-0.689283549785614,0.147639736533165,16,28.8461532592773,19.230770111084,39.4230766296387
Nicaragua,2008,-0.808183550834656,0.152344673871994,16,24.0384616851807,13.942307472229,35.0961532592773
Panama,2008,-0.203979909420013,0.167923659086227,13,49.519229888916,37.5,56.25
Paraguay,2008,-0.910835206508636,0.165461614727974,14,20.6730766296387,9.61538505554199,31.25
Peru,2008,-0.730335593223572,0.145958095788956,17,25.9615383148193,18.75,37.5
Puerto Rico,2008,0.537432789802551,0.296832591295242,3,66.3461532592773,55.769229888916,83.6538467407227
Suriname,2008,-0.234130024909973,0.218589007854462,8,48.5576934814453,34.1346168518066,57.6923065185547
Uruguay,2008,0.613664507865906,0.170779347419739,12,69.711540222168,58.6538467407227,77.8846130371094
Argentina,2009,-0.694468080997467,0.143581703305244,17,30.3317527770996,18.0094795227051,41.2322273254395
Belize,2009,-0.323144495487213,0.19051256775856,8,45.0236968994141,31.2796211242676,54.502368927002
Bolivia,2009,-1.11391890048981,0.140662968158722,16,13.7440757751465,4.7393364906311,19.9052124023437
Brazil,2009,-0.103854693472385,0.143581703305244,17,51.1848335266113,44.5497627258301,58.2938385009766
Chile,2009,1.19409048557281,0.145847767591476,15,86.7298583984375,80.0947875976562,89.5734634399414
Colombia,2009,-0.367777585983276,0.143581703305244,17,43.1279602050781,32.7014236450195,49.7630348205566
Costa Rica,2009,0.578809499740601,0.160803139209747,14,66.3507080078125,60.6635055541992,74.407585144043
Cuba,2009,-0.712426066398621,0.168123438954353,10,28.9099521636963,17.5355453491211,41.2322273254395
Dominican Republic,2009,-0.809174060821533,0.153368502855301,14,24.1706161499023,14.2180099487305,35.0710906982422
Ecuador,2009,-1.20504021644592,0.149387404322624,16,10.4265403747559,4.26540279388428,17.5355453491211
El Salvador,2009,-0.783321619033813,0.161531895399094,14,26.5402851104736,15.1658763885498,36.4928894042969
Guatemala,2009,-1.01313829421997,0.151641294360161,15,17.0616111755371,8.53080558776855,27.488151550293
Guyana,2009,-0.555844962596893,0.1568683385849,12,35.5450248718262,23.6966819763184,45.497631072998
Haiti,2009,-1.33430373668671,0.150436624884605,13,5.68720388412476,2.36966824531555,14.2180099487305
Honduras,2009,-0.895501971244812,0.140662968158722,16,19.9052124023437,12.7962083816528,30.8056869506836
Mexico,2009,-0.56286883354187,0.143581703305244,17,35.0710906982422,24.6445503234863,44.5497627258301
Nicaragua,2009,-0.786913633346558,0.138858437538147,17,25.1184825897217,16.5876770019531,35.0710906982422
Panama,2009,-0.0972685068845749,0.153368502855301,14,52.1327018737793,44.5497627258301,58.7677726745605
Paraguay,2009,-0.857977032661438,0.151641294360161,15,21.8009471893311,13.7440757751465,32.7014236450195
Peru,2009,-0.624266803264618,0.143581703305244,17,31.7535552978516,21.3270149230957,42.6540298461914
Puerto Rico,2009,0.761055648326874,0.213122025132179,4,71.0900497436523,63.5071105957031,83.8862533569336
Suriname,2009,-0.124648116528988,0.175806939601898,9,50.2369651794434,41.7061614990234,59.2417068481445
Uruguay,2009,0.755774736404419,0.153368502855301,14,70.6161117553711,63.9810409545898,81.9905242919922
Argentina,2010,-0.59809422492981,0.144613742828369,17,32.7014236450195,24.1706161499023,43.1279602050781
Belize,2010,-0.281174033880234,0.188905641436577,8,46.445499420166,33.1753540039062,54.028434753418
Bolivia,2010,-1.02979016304016,0.137403205037117,17,14.6919431686401,8.53080558776855,25.5924167633057
Brazil,2010,0.0564144365489483,0.144613742828369,17,55.4502372741699,49.7630348205566,61.6113739013672
Chile,2010,1.22541570663452,0.148138910531998,15,87.6777267456055,80.568717956543,90.0473937988281
Colombia,2010,-0.271385610103607,0.144613742828369,17,46.9194297790527,35.5450248718262,53.554500579834
Costa Rica,2010,0.535760879516602,0.166154816746712,13,65.4028472900391,61.1374397277832,73.459716796875
Cuba,2010,-0.722509026527405,0.166649207472801,10,28.9099521636963,16.1137447357178,39.8104248046875
Dominican Republic,2010,-0.855494201183319,0.153985783457756,14,23.222749710083,12.3222751617432,32.2274894714355
Ecuador,2010,-1.14322912693024,0.149675846099854,16,11.8483409881592,4.7393364906311,20.3791465759277
El Salvador,2010,-0.865749895572662,0.162920162081718,14,22.748815536499,11.8483409881592,32.2274894714355
Guatemala,2010,-0.944123864173889,0.149675846099854,16,18.9573459625244,10.4265403747559,28.9099521636963
Guyana,2010,-0.477120876312256,0.154287546873093,12,38.3886260986328,28.4360198974609,47.3933639526367
Haiti,2010,-1.38317584991455,0.145589828491211,13,5.21327018737793,2.36966824531555,11.3744077682495
Honduras,2010,-0.875314056873322,0.138733804225922,16,22.274881362915,12.3222751617432,31.2796211242676
Mexico,2010,-0.552031338214874,0.144613742828369,17,35.5450248718262,26.5402851104736,45.0236968994141
Nicaragua,2010,-0.837366938591003,0.137403205037117,17,24.1706161499023,14.2180099487305,31.7535552978516
Panama,2010,-0.0802930667996407,0.153985783457756,14,52.1327018737793,44.0758285522461,60.6635055541992
Paraguay,2010,-0.830411493778229,0.151400476694107,15,24.6445503234863,13.2701425552368,33.1753540039062
Peru,2010,-0.566099524497986,0.144613742828369,17,34.5971565246582,25.5924167633057,44.5497627258301
Puerto Rico,2010,0.760903239250183,0.220161557197571,4,71.5639801025391,62.5592422485352,84.8341217041016
Suriname,2010,-0.0577610395848751,0.173907086253166,10,53.0805702209473,44.0758285522461,61.1374397277832
Uruguay,2010,0.786790609359741,0.153985783457756,14,73.459716796875,64.9289093017578,82.9383850097656
Argentina,2011,-0.563123285770416,0.134700432419777,18,33.3333320617676,25.3521118164062,44.6009407043457
Belize,2011,-0.469881325960159,0.171774461865425,9,39.4366188049316,26.2910804748535,49.7652587890625
